Date,Open,High,Low,Close,Adj Close,Volume
2022-07-01,240000.000000,242500.000000,233500.000000,237000.000000,235919.609375,527033
2022-07-04,237500.000000,240000.000000,230500.000000,235000.000000,233928.718750,512776
2022-07-05,238500.000000,248500.000000,237000.000000,243000.000000,241892.250000,654854
2022-07-06,240000.000000,249500.000000,236500.000000,243500.000000,242389.968750,875386
2022-07-07,246000.000000,249000.000000,243000.000000,245000.000000,243883.140625,547620
2022-07-08,247000.000000,252500.000000,246000.000000,249000.000000,247864.906250,652395
2022-07-11,246000.000000,248000.000000,238500.000000,240500.000000,239403.656250,554603
2022-07-12,236500.000000,237500.000000,230500.000000,233500.000000,232435.562500,601679
2022-07-13,232000.000000,239000.000000,232000.000000,237500.000000,236417.328125,451619
2022-07-14,232000.000000,236000.000000,231000.000000,233500.000000,232435.562500,611226
2022-07-15,234500.000000,234500.000000,228000.000000,231000.000000,229946.953125,826920
2022-07-18,234000.000000,247000.000000,233000.000000,246500.000000,245376.296875,986963
2022-07-19,242500.000000,244000.000000,240000.000000,243500.000000,242389.968750,350932
2022-07-20,251000.000000,253500.000000,244500.000000,246000.000000,244878.578125,635582
2022-07-21,248500.000000,256500.000000,246500.000000,250500.000000,249358.062500,567875
2022-07-22,250000.000000,253500.000000,247000.000000,250000.000000,248860.343750,465586
2022-07-25,248000.000000,249000.000000,244000.000000,248000.000000,246869.468750,380368
2022-07-26,244500.000000,245000.000000,240500.000000,245000.000000,243883.140625,432397
2022-07-27,247500.000000,247500.000000,241000.000000,246000.000000,244878.578125,576997
2022-07-28,251000.000000,255000.000000,245500.000000,247000.000000,245874.015625,564324
2022-07-29,252000.000000,262000.000000,251500.000000,259000.000000,257819.312500,1105156
2022-08-01,260500.000000,261500.000000,256500.000000,259000.000000,257819.312500,532517
2022-08-02,260500.000000,260500.000000,254000.000000,259000.000000,257819.312500,551218
2022-08-03,256000.000000,271000.000000,255000.000000,269000.000000,267773.718750,831121
2022-08-04,272500.000000,278000.000000,271000.000000,273500.000000,272253.218750,960547
2022-08-05,277500.000000,281000.000000,265500.000000,267000.000000,265782.843750,949836
2022-08-08,261000.000000,261500.000000,257000.000000,258500.000000,257321.593750,940226
2022-08-09,261000.000000,267000.000000,259500.000000,265000.000000,263791.968750,529474
2022-08-10,262500.000000,266000.000000,261000.000000,262000.000000,260805.640625,317975
2022-08-11,269500.000000,271000.000000,266000.000000,267500.000000,266280.562500,517715
2022-08-12,267500.000000,269500.000000,265000.000000,265500.000000,264289.687500,402713
2022-08-16,268500.000000,269000.000000,258000.000000,259500.000000,258317.031250,864710
2022-08-17,259000.000000,260000.000000,254500.000000,258000.000000,256823.875000,433453
2022-08-18,254000.000000,256000.000000,249000.000000,250000.000000,248860.343750,788467
2022-08-19,250500.000000,251000.000000,246000.000000,248000.000000,246869.468750,382703
2022-08-22,245000.000000,247000.000000,241500.000000,245500.000000,244380.859375,340467
2022-08-23,243500.000000,244500.000000,240000.000000,241000.000000,239901.375000,400035
2022-08-24,242000.000000,243500.000000,240500.000000,241500.000000,240399.093750,344838
2022-08-25,243000.000000,248500.000000,242000.000000,244500.000000,243385.421875,347778
2022-08-26,246000.000000,246500.000000,241500.000000,242000.000000,240896.812500,306637
2022-08-29,232500.000000,235500.000000,231500.000000,234000.000000,232933.281250,610295
2022-08-30,234500.000000,239500.000000,234500.000000,238000.000000,236915.046875,306143
2022-08-31,234500.000000,240500.000000,232500.000000,240000.000000,238905.937500,424718
2022-09-01,236000.000000,238000.000000,233000.000000,236000.000000,234924.171875,410984
2022-09-02,237500.000000,239000.000000,232500.000000,234000.000000,232933.281250,374672
2022-09-05,233500.000000,238000.000000,233500.000000,236000.000000,234924.171875,327916
2022-09-06,237500.000000,237500.000000,233500.000000,235000.000000,233928.718750,240015
2022-09-07,233500.000000,233500.000000,228000.000000,231500.000000,230444.671875,480805
2022-09-08,233000.000000,234500.000000,228500.000000,231500.000000,230444.671875,542651
2022-09-13,236000.000000,239500.000000,235500.000000,238500.000000,237412.765625,510894
2022-09-14,228500.000000,231000.000000,226000.000000,230000.000000,228951.515625,552863
2022-09-15,231000.000000,231000.000000,225500.000000,225500.000000,224472.031250,525459
2022-09-16,221500.000000,223000.000000,219500.000000,220000.000000,218997.109375,777712
2022-09-19,219500.000000,221000.000000,217000.000000,218000.000000,217006.218750,502182
2022-09-20,220500.000000,222000.000000,218000.000000,218000.000000,217006.218750,240498
